row_no,part_id,routing_status,machine_cell,routing_material_grade,machining_status,baseline_cycle_time_min,capacity_ready_date,material_status,inspection_gate_status,machining_blocker,earliest_production_release_date,routing_note
2,MP-001,Ready,VMC-2,S355JR,Ready,20.2,09/10/2026,Available,FAI Accepted,None,09/10/2026,Routing snapshot for approved machining path.
3,MP-002,Ready,HMC-1,AISI 304,Ready,22.4,10/10/2026,Available,FAI Accepted,None,10/10/2026,Routing snapshot for approved machining path.
4,MP-003,Hold,VMC-2,42CrMo4 QT,Hold,29.5,05/11/2026,Material Cert Pending,FAI Hold,ECO-REV-003 not released; material cert not cleared,05/11/2026,Routing log supersedes master readiness.
5,MP-004,Ready,VMC-1,6082-T6 Al,Ready,25.6,12/10/2026,Available,FAI Accepted,None,12/10/2026,Routing snapshot for approved machining path.
6,MP-005,Queue Review,VMC-2,17-4PH H1150,Queue Pending,27.8,13/10/2026,Available,FAI Pending,Capacity review pending,13/10/2026,Routing snapshot for approved machining path.
7,MP-006,Hold,Mill-Turn-1,17-4PH H1150,Hold,31,08/11/2026,Supplier Shortage,FAI Not Started,17-4PH H1150 bar delayed past readiness target,08/11/2026,Supplier material shortage blocks release.
8,MP-007,Ready,Mill-Turn-1,S355JR,Ready,31.5,15/10/2026,Available,FAI Accepted,None,15/10/2026,Routing snapshot for approved machining path.
9,MP-008,Ready,VMC-1,AISI 304,Ready,33.2,16/10/2026,Available,FAI Accepted,None,16/10/2026,Routing snapshot for approved machining path.
10,MP-009,Ready,VMC-2,42CrMo4 QT,Ready,34.2,17/10/2026,Available,FAI Accepted,None,17/10/2026,Routing snapshot for approved machining path.
11,MP-010,Hold,HMC-1,42CrMo4 QT,Hold,42,12/11/2026,Available,FAI Pending,Signed rev D routing not released until after target,12/11/2026,Signed schedule overrides tracker date.
12,MP-011,Ready,Mill-Turn-1,17-4PH H1150,Ready,38.6,19/10/2026,Available,FAI Accepted,None,19/10/2026,Routing snapshot for approved machining path.
13,MP-012,Ready,VMC-1,EN8,Ready,18,20/10/2026,Available,FAI Accepted,None,20/10/2026,Routing snapshot for approved machining path.
14,MP-013,Ready,VMC-2,S355JR,Ready,20.2,21/10/2026,Available,FAI Accepted,None,21/10/2026,Routing snapshot for approved machining path.
15,MP-014,Ready,HMC-1,AISI 304,Ready,22.9,22/10/2026,Available,FAI Accepted,None,22/10/2026,Routing snapshot for approved machining path.
16,MP-015,Queue Review,Mill-Turn-1,42CrMo4 QT,Queue Pending,23.4,23/10/2026,Available,FAI Pending,Capacity review pending,23/10/2026,Routing snapshot for approved machining path.
17,MP-016,Hold,VMC-1,S355JR,Hold,33.4,15/11/2026,Supplier Queue,FAI Pending,Heat treatment queue and vendor transfer not closed,15/11/2026,Supplier accountability changed by ECA.
18,MP-017,Ready,VMC-2,17-4PH H1150,Ready,27.8,25/10/2026,Available,FAI Accepted,None,25/10/2026,Routing snapshot for approved machining path.
19,MP-018,Hold,Mill-Turn-1,17-4PH H1150,Hold,39,04/11/2026,Capacity After Target,FAI Pending,Machine cell slot available after target,04/11/2026,Capacity routing evidence overrides machining-ready claim.
20,MP-019,Ready,Mill-Turn-1,S355JR,Ready,31,27/10/2026,Available,FAI Accepted,None,27/10/2026,Routing snapshot for approved machining path.
21,MP-020,Queue Review,VMC-1,AISI 304,Queue Pending,33.2,28/10/2026,Available,FAI Pending,Capacity review pending,28/10/2026,Routing snapshot for approved machining path.
